x,y,Floor,Room #,Teacher
18,21,1,null,
18,22,1,null,
18,23,1,null,
18,24,1,null,
18,25,1,null,
18,26,1,null,
18,27,1,null,
18,28,1,null,
18,29,1,null,
18,30,1,null,
18,31,1,null,
18,32,1,null,
18,33,1,null,
18,34,1,null,
18,35,1,null,
18,36,1,null,
18,37,1,null,
19,0,1,null,
19,1,1,null,
19,2,1,null,
19,3,1,null,
19,4,1,null,
19,5,1,Hall,
19,6,1,Hall,
19,7,1,Hall,
19,8,1,Hall,
19,9,1,Hall,
19,10,1,Hall,
19,11,1,Hall,
19,12,1,Hall,
19,13,1,Hall,
19,14,1,Hall,
19,15,1,Hall,
19,16,1,Hall,
19,17,1,Hall,
19,18,1,Hall,
19,19,1,Hall,
19,20,1,Hall,
19,21,1,Hall,
19,22,1,Hall,
19,23,1,Hall,
19,24,1,Exit,
19,25,1,null,
19,26,1,null,
19,27,1,null,
19,28,1,null,
19,29,1,null,
19,30,1,null,
19,31,1,null,
19,32,1,null,
19,33,1,null,
19,34,1,null,
19,35,1,null,
19,36,1,null,
19,37,1,null,
20,0,1,null,
20,1,1,null,
20,2,1,null,
20,3,1,null,
20,4,1,null,
20,5,1,null,
20,6,1,Hall,
20,7,1,Hall,
20,8,1,Hall,
20,9,1,null,
20,10,1,null,
20,11,1,null,
20,12,1,null,
20,13,1,null,
20,14,1,Hall,
20,15,1,Commons,
20,16,1,null,
20,17,1,null,
20,18,1,null,
20,19,1,null,
20,20,1,null,
20,21,1,null,
20,22,1,null,
20,23,1,null,
20,24,1,null,
20,25,1,null,
20,26,1,null,
20,27,1,null,
20,28,1,null,
20,29,1,null,
20,30,1,null,
20,31,1,null,
20,32,1,null,
20,33,1,null,
20,34,1,null,
20,35,1,null,
20,36,1,null,
20,37,1,null,
21,0,1,null,
21,1,1,null,
21,2,1,null,
21,3,1,null,
21,4,1,null,
21,5,1,null,
21,6,1,Hall,
21,7,1,Hall,
21,8,1,Big Gym,
21,9,1,null,
21,10,1,null,
21,11,1,null,
21,12,1,null,
21,13,1,null,
21,14,1,Big Gym,
21,15,1,Hall,
21,16,1,null,
21,17,1,null,
21,18,1,null,
21,19,1,null,
21,20,1,null,
21,21,1,null,
21,22,1,null,
21,23,1,null,
21,24,1,null,
21,25,1,null,
21,26,1,null,
21,27,1,null,
21,28,1,null,
21,29,1,null,
21,30,1,null,
21,31,1,null,
21,32,1,null,
21,33,1,null,
21,34,1,null,
21,35,1,null,
21,36,1,null,
21,37,1,null,
22,0,1,null,
22,1,1,null,
22,2,1,null,
22,3,1,null,
22,4,1,null,
22,5,1,null,
22,6,1,Hall,
22,7,1,Hall,
22,8,1,Hall,
22,9,1,null,
22,10,1,null,
22,11,1,null,
22,12,1,null,
22,13,1,null,
22,14,1,Hall,
22,15,1,Hall,
22,16,1,Hall,
22,17,1,Hall,
22,18,1,Hall,
